dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,135407.57,1738.149175,135407.57,1738.149175,0.0,0.0,0.0,12.2,16.0,7.7,0.0,1,0,,,,,,,17.38149175
,137379.23,1783.308519,137379.23,1783.308519,0.0,0.0,0.0,9.6,14.0,6.3,0.0,1,0,,,,,,,17.83308519
,135562.075,1722.549325,135562.075,1722.549325,0.0,0.0,0.0,10.5,16.9,7.1,0.0,0,0,,,,,,,17.22549325
,124587.43,1526.382552,124587.43,1526.382552,0.0,0.0,0.0,8.0,14.1,5.0,0.0,0,0,,,,,,,15.26382552
,119277.48,1672.530481,119277.48,1672.530481,0.0,0.0,0.0,9.6,14.5,4.1,0.0,0,0,,,,,,,16.72530481
,139468.155,1930.082763,139468.155,1930.082763,0.0,0.0,0.0,6.9,12.3,5.6,0.0,0,0,,,,,,,19.30082763
,143170.055,2029.88268,143170.055,2029.88268,0.0,0.0,0.0,5.0,14.2,7.9,0.0,0,0,,,,,,,20.2988268
,138931.0,1592.655046,138931.0,1592.655046,0.0,0.0,0.0,7.4,15.0,6.9,0.0,0,0,,,,,,,15.92655046
,138972.425,1921.608029,138972.425,1921.608029,0.0,0.0,0.0,10.3,11.9,7.0,0.6,0,0,,,,,,,19.21608029
,145713.81,2299.865638,145713.81,2299.865638,0.0,0.0,0.0,5.9,12.0,5.0,2.6,0,0,,,,,,,22.99865638
,130073.27,1571.446173,130073.27,1571.446173,0.0,0.0,0.0,7.3,10.6,2.8,0.0,0,0,,,,,,,15.71446173
,117312.925,1294.977486,117312.925,1294.977486,0.0,0.0,0.0,8.2,14.9,8.2,2.0,0,0,,,,,,,12.94977486
,143176.335,1944.454508,143176.335,1944.454508,0.0,0.0,0.0,7.5,11.5,4.4,1.6,0,0,,,,,,,19.44454508
,143984.39,2012.201067,143984.39,2012.201067,0.0,0.0,0.0,7.4,14.2,7.0,2.2,0,0,,,,,,,20.12201067
,141696.295,2189.49638,141696.295,2189.49638,0.0,0.0,0.0,4.9,14.8,8.5,0.2,0,0,,,,,,,21.8949638
,141994.375,2078.006908,141994.375,2078.006908,0.0,0.0,0.0,6.5,13.4,3.5,0.0,0,0,,,,,,,20.78006908
,136884.095,1741.962167,136884.095,1741.962167,0.0,0.0,0.0,7.6,14.3,5.8,0.0,0,0,,,,,,,17.41962167
,123971.705,1652.047184,123971.705,1652.047184,0.0,0.0,0.0,10.9,13.1,3.7,0.2,0,0,,,,,,,16.52047184
,124790.695,1788.556823,124790.695,1788.556823,0.0,0.0,0.0,3.4,12.3,2.9,1.6,0,0,,,,,,,17.88556823
,138680.335,2564.043968,138680.335,2564.043968,0.0,0.0,0.0,6.1,12.7,4.2,28.4,0,0,,,,,,,25.64043968
,150671.105,2441.538693,150671.105,2441.538693,0.0,0.0,0.0,8.1,9.8,4.8,3.8,1,0,,,,,,,24.41538693
,151270.54,2724.335712,151270.54,2724.335712,0.0,0.0,0.0,5.8,10.5,7.4,3.6,1,0,,,,,,,27.24335712
,144797.98,2183.448627,144797.98,2183.448627,0.0,0.0,0.0,6.6,12.3,8.1,0.2,1,0,,,,,,,21.83448627
,142965.48,2655.33845,142965.48,2655.33845,0.0,0.0,0.0,7.3,12.3,6.5,2.4,1,0,,,,,,,26.5533845
,130187.445,2379.074534,130187.445,2379.074534,0.0,0.0,0.0,6.1,11.5,9.5,0.4,1,0,,,,,,,23.79074534
,131141.355,2350.786143,131141.355,2350.786143,0.0,0.0,0.0,0.6,12.1,9.7,0.0,1,0,,,,,,,23.50786143
